dedup_key,parent_smiles,canonical_smiles,drug_name,chembl_id,n_proteins,n_pathways,n_moas,max_phase,any_known_aml,smiles_key,PAMPA_permeability,PAMPA_p1,PGP_inhibition,PGP_p1,hERG_inhibition,hERG_p1,AMES_mutagenic,AMES_p1,BBB_penetration,BBB_p1,CYP3A4_inhibition,CYP3A4_p1,CYP2D6_inhibition,CYP2D6_p1,CYP2C9_inhibition,CYP2C9_p1,CYP1A2_inhibition,CYP1A2_p1,CYP2C19_inhibition,CYP2C19_p1,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,mechanistic_score,admet_score,combined_score,lethal_flag,top_proteins,top_pathways,top_moas,rank,_name_norm,_in_known,_moa_count_after,_pathways
WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB,CHEMBL535,14,324,2,4.0,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1.0,0.778,1,0.232,1,0.242,1,0.197,1,0.825,0.0,0.0593,0.0,0.135,0.0,0.0871,0.0,0.0563,1.0,0.487,-2.48,-3.09,-1.88,-3.09,-1.88,3.3349400000000013,0.9598836003697488,0.7708437594532089,0.9031716480947868,0,FLT3;FLT4;KDR,RAF/MAP kinase cascad;RAF/MAP kinase cascade;Constitutive Signaling by Aberrant PI3K in Cance,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor beta inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor 2 inhibitor;Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,1,sunitinib,False,1,"['RAF/MAP kinase cascad', 'RAF/MAP kinase cascade', 'Constitutive Signaling by Aberrant PI3K in Cance']"
SDUQYLNIPVEERB-QPPQHZFASA-N,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE,CHEMBL888,22,292,1,4.0,False,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.0,0.00626,0,0.101,0,0.0467,0,0.106,1,0.627,0.0,0.0753,0.0,0.108,1.0,0.47,0.0,0.0136,0.0,0.0502,-1.72,-2.46,-0.986,-2.46,-0.986,-1.2886,1.0,0.5964398082383889,0.8789319424715166,0,POLA1;POLA2;POLD1,Polymerase switchin;Polymerase switching on the C-strand of the telomer;Processive synthesis on the lagging stran,DNA polymerase (alpha/delta/epsilon) inhibitor | Ribonucleoside-diphosphate reductase RR1 inhibitor,3,gemcitabine,False,1,"['Polymerase switchin', 'Polymerase switching on the C-strand of the telomer', 'Processive synthesis on the lagging stran']"
CUIHSIWYWATEQL-UHFFFAOYSA-N,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,PAZOPANIB HYDROCHLORIDE,CHEMBL477772,10,196,1,4.0,False,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1.0,0.757,0,0.0919,0,0.0894,0,0.0967,1,0.274,0.0,0.113,0.0,0.0662,0.0,0.0688,0.0,0.0767,0.0,0.0523,-2.64,-3.31,-1.98,-3.31,-1.98,3.1390400000000005,0.8311300872084201,0.9018030275361087,0.8523319693067266,0,FLT4;KDR;KIT,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin",Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,4,pazopanib,False,1,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin']"
OOUGLTULBSNHNF-UHFFFAOYSA-N,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,ATALUREN,CHEMBL256997,18,475,0,4.0,False,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,0.0,0.0357,0,0.0377,0,0.0168,0,0.115,0,0.19,0.0,0.0256,0.0,0.0792,1.0,0.418,0.0,0.123,1.0,0.289,-4.77,-5.54,-4.0,-5.54,-4.0,3.240900000000001,0.9159894306494342,0.5808567377942955,0.8154496227928925,0,RPL11;RPL15;RPL23,Eukaryotic Translation Terminatio;Formation of a pool of free 40S subunit;GTP hydrolysis and joining of the 60S ribosomal subuni,,6,ataluren,False,0,"['Eukaryotic Translation Terminatio', 'Formation of a pool of free 40S subunit', 'GTP hydrolysis and joining of the 60S ribosomal subuni']"
XZXHXSATPCNXJR-ZIADKAODSA-N,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,NINTEDANIB ESYLATE,CHEMBL502835,8,116,1,4.0,False,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1.0,0.916,0,0.0975,0,0.0915,0,0.123,1,0.864,1.0,0.313,0.5,0.211,0.5,0.284,0.0,0.0452,0.5,0.251,-3.58,-4.24,-2.92,-4.24,-2.92,3.6159000000000026,0.7643506202485091,0.8666004971081023,0.7950255833063871,0,FLT4;KDR;PDGFRA,Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Downstream signal transductio,Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,7,nintedanib esylate,False,1,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'Downstream signal transductio']"
SPMVMDHWKHCIDT-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC.Cl.O,TIVOZANIB HYDROCHLORIDE,CHEMBL1289494,8,144,2,4.0,False,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1.0,0.831,0,0.101,0,0.0735,1,0.238,1,0.845,0.0,0.0839,0.0,0.0141,0.0,0.0195,1.0,0.583,0.0,0.0747,-6.16,-6.8,-5.52,-6.8,-5.52,5.6381200000000025,0.8160851723085548,0.6573083673358434,0.7684521308167414,0,FLT4;KDR;KIT,Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell,Platelet-derived growth factor receptor beta inhibitor | Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,11,tivozanib,False,1,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell']"
OAVGBZOFDPFGPJ-UHFFFAOYSA-N,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,SOTRASTAURIN,CHEMBL565612,11,128,0,2.0,False,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,1.0,0.821,1,0.281,0,0.0762,0,0.0553,1,0.568,0.5,0.231,0.5,0.23,0.0,0.137,1.0,0.288,0.0,0.0201,-4.02,-4.82,-3.22,-4.82,-3.22,2.4301000000000004,0.7170334711654079,0.8721807655687818,0.7635776594864201,0,PRKCA;PRKCB;PRKCD,G alpha (z) signalling event;G alpha (z) signalling events;Effects of PIP2 hydrolysi,,12,sotrastaurin,False,0,"['G alpha (z) signalling event', 'G alpha (z) signalling events', 'Effects of PIP2 hydrolysi']"
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,REGORAFENIB,CHEMBL1946170,9,200,1,4.0,False,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,1.0,0.72,0.5,0.192,0,0.131,0,0.0118,1,0.37,0.0,0.121,0.0,0.0281,0.0,0.0329,0.5,0.224,0.0,0.0777,-6.84,-7.6,-6.08,-7.6,-6.08,5.688800000000002,0.812911097366124,0.647449846587923,0.7632727221326636,0,ABL1;BRAF;FLT4,RAF/MAP kinase cascad;RAF/MAP kinase cascade;Constitutive Signaling by Aberrant PI3K in Cance,Ephrin type-A receptor 2 inhibitor | Platelet-derived growth factor receptor inhibitor | Serine/threonine-protein kinase B-raf inhibitor | Serine/threonine-protein kinase RAF inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase ABL inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,13,regorafenib,False,1,"['RAF/MAP kinase cascad', 'RAF/MAP kinase cascade', 'Constitutive Signaling by Aberrant PI3K in Cance']"
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,FAMITINIB,CHEMBL1278146,6,152,1,3.0,False,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,1.0,0.894,0.5,0.181,0,0.0796,0,0.101,1,0.779,0.0,0.138,0.0,0.112,0.0,0.165,0.5,0.193,1.0,0.353,-3.45,-4.19,-2.72,-4.19,-2.72,3.295020000000001,0.7069908607485145,0.8816392021177976,0.7593853631592993,0,FLT3;FLT4;KDR,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin",Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,14,famitinib,False,1,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin']"
JGWRKYUXBBNENE-UHFFFAOYSA-N,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,PEXIDARTINIB,CHEMBL3813873,4,188,2,4.0,False,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,1.0,0.871,0,0.131,0,0.0199,0,0.0316,1,0.459,1.0,0.516,1.0,0.599,0.0,0.0105,1.0,0.323,1.0,0.34,-5.87,-6.48,-5.25,-6.48,-5.25,5.228000000000002,0.7108426308859412,0.7434365978066465,0.7206208209621527,0,FLT3;KIT,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin",Macrophage colony stimulating factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor,16,pexidartinib,False,1,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin']"
